#Peb				#Pse	   #erros		  #Pnd|e		  #Pcc|e		

1.0E-6				0.0			1.0				0.0				0.0		
1.0E-5				0.0			2.0				0.0				0.0		
1.0E-4				0.0			2.99994				3.0E-4				0.0		
0.001				0.0			3.99892				0.0054				0.0		
0.01				0.0			4.9889				0.0537				0.0		
0.1				0.0			5.88948				0.3848				0.0		
0.125				0.0			6.76354				0.7673				0.0		
0.25				5.0E-4			7.51356				1.2505				0.0		
0.5				0.0334			8.00962				1.7181				0.0		
1.0E-6				0.0			1.0				0.0				0.0		
1.0E-5				0.0			2.0				0.0				0.0		
1.0E-4				0.0			2.99996				2.0E-4				0.0		
0.001				0.0			3.99916				0.0042				0.0		
0.01				0.0			4.98976				0.05				0.0		
0.1				0.0			5.88926				0.3875				0.0		
0.125				0.0			6.76116				0.779				0.0		
0.25				0.0016			7.51022				1.2623				0.0		
0.5				0.0325			8.00824				1.7331				0.0		
